"日付け","終値","始値","高値","安値","出来高","前日比%"
"2018年09月17日","713,078","700,627","722,250","700,327","0.01K","1.78%"
"2018年09月16日","700,627","721,089","726,269","700,357","0.01K","-2.84%"
"2018年09月15日","721,089","716,697","728,228","707,125","0.00K","0.61%"
"2018年09月14日","716,697","713,705","728,123","703,367","0.01K","0.44%"
"2018年09月13日","713,542","688,904","726,728","685,475","0.01K","3.58%"
"2018年09月12日","688,904","686,543","703,232","683,770","0.02K","0.34%"
"2018年09月11日","686,543","693,540","711,194","685,990","0.01K","-1.01%"
"2018年09月10日","693,540","706,181","706,980","678,129","0.01K","-1.79%"
"2018年09月09日","706,181","682,114","713,775","672,810","0.01K","3.53%"
"2018年09月08日","682,114","713,155","717,914","679,335","0.02K","-4.35%"
"2018年09月07日","713,155","717,926","722,513","690,136","0.02K","-0.66%"
"2018年09月06日","717,926","742,003","814,693","694,610","0.04K","-3.24%"
"2018年09月05日","742,003","814,788","816,147","742,003","0.03K","-8.93%"
"2018年09月04日","814,788","796,762","815,182","794,958","0.02K","2.26%"
"2018年09月03日","796,762","806,988","807,068","790,709","0.01K","-1.29%"
"2018年09月02日","807,148","792,180","807,343","771,242","0.02K","1.02%"
"2018年09月01日","799,013","761,635","799,013","758,234","0.01K","3.26%"
"2018年08月31日","773,790","759,723","774,382","743,476","0.02K","0.93%"
"2018年08月30日","766,652","782,584","789,519","744,803","0.03K","-2.07%"
"2018年08月29日","782,851","795,904","800,427","762,689","0.05K","-1.64%"
"2018年08月28日","795,904","758,238","795,971","733,898","0.04K","4.97%"
"2018年08月27日","758,238","745,495","762,908","733,734","0.03K","0.95%"
"2018年08月26日","751,120","743,321","751,920","719,891","0.02K","1.05%"
"2018年08月25日","743,321","720,403","751,920","712,480","0.01K","-0.18%"
"2018年08月24日","744,679","724,898","744,679","704,412","0.03K","2.73%"
"2018年08月23日","724,898","704,454","734,328","690,472","0.03K","2.90%"
"2018年08月22日","704,454","705,207","750,810","688,893","0.03K","-0.11%"
"2018年08月21日","705,207","690,700","713,169","687,059","0.03K","2.10%"
"2018年08月20日","690,700","715,464","718,897","686,341","0.01K","-3.46%"
"2018年08月19日","715,464","696,533","724,089","690,275","0.02K","2.72%"
"2018年08月18日","696,533","729,586","733,513","687,569","0.04K","-4.53%"
