time,amount
2017/9/22 0:00,16581675
2017/9/23 0:00,16583750
2017/9/24 0:00,16585562.5
2017/9/25 0:00,16587125
2017/9/26 0:00,16588850
2017/9/27 0:00,16590687.5
2017/9/28 0:00,16592900
2017/9/29 0:00,16595012.5
2017/9/30 0:00,16596737.5
2017/10/1 0:00,16598362.5
2017/10/2 0:00,16600237.5
2017/10/3 0:00,16602525
2017/10/4 0:00,16604200
2017/10/5 0:00,16605762.5
2017/10/6 0:00,16607750
2017/10/7 0:00,16609725
2017/10/8 0:00,16612000
2017/10/9 0:00,16614012.5
2017/10/10 0:00,16616012.5
2017/10/11 0:00,16617750
2017/10/12 0:00,16619662.5
2017/10/13 0:00,16621362.5
2017/10/14 0:00,16623125
2017/10/15 0:00,16625562.5
2017/10/16 0:00,16627737.5
2017/10/17 0:00,16629787.5
2017/10/18 0:00,16631675
2017/10/19 0:00,16633900
2017/10/20 0:00,16636137.5
2017/10/21 0:00,16638050
2017/10/22 0:00,16640325
2017/10/23 0:00,16642462.5
2017/10/24 0:00,16644550
2017/10/25 0:00,16646862.5
2017/10/26 0:00,16649112.5
2017/10/27 0:00,16650412.5
2017/10/28 0:00,16651475
2017/10/29 0:00,16653400
2017/10/30 0:00,16655237.5
2017/10/31 0:00,16656962.5
2017/11/1 0:00,16658325
2017/11/2 0:00,16660787.5
2017/11/3 0:00,16662275
2017/11/4 0:00,16663900
2017/11/5 0:00,16665662.5
2017/11/6 0:00,16667325
2017/11/7 0:00,16669275
2017/11/8 0:00,16671075
2017/11/9 0:00,16672987.5
2017/11/10 0:00,16674487.5
2017/11/11 0:00,16675487.5
2017/11/12 0:00,16676487.5
2017/11/13 0:00,16678237.5
2017/11/14 0:00,16679837.5
2017/11/15 0:00,16681737.5
2017/11/16 0:00,16683637.5
2017/11/17 0:00,16685725
2017/11/18 0:00,16687425
2017/11/19 0:00,16689425
2017/11/20 0:00,16691612.5
2017/11/21 0:00,16693775
2017/11/22 0:00,16695312.5
2017/11/23 0:00,16697587.5
2017/11/24 0:00,16699450
2017/11/25 0:00,16701400
2017/11/26 0:00,16703312.5
2017/11/27 0:00,16705437.5
2017/11/28 0:00,16707387.5
2017/11/29 0:00,16709550
2017/11/30 0:00,16711637.5
2017/12/1 0:00,16713925
2017/12/2 0:00,16715937.5
2017/12/3 0:00,16718137.5
2017/12/4 0:00,16720400
2017/12/5 0:00,16722625
2017/12/6 0:00,16724975
2017/12/7 0:00,16726862.5
2017/12/8 0:00,16728825
2017/12/9 0:00,16731000
2017/12/10 0:00,16733050
2017/12/11 0:00,16735187.5
2017/12/12 0:00,16737137.5
2017/12/13 0:00,16739462.5
2017/12/14 0:00,16741775
2017/12/15 0:00,16743887.5
2017/12/16 0:00,16746025
2017/12/17 0:00,16748337.5
2017/12/18 0:00,16750612.5
2017/12/19 0:00,16752362.5
2017/12/20 0:00,16754062.5
2017/12/21 0:00,16755712.5
2017/12/22 0:00,16757650
2017/12/23 0:00,16759387.5
2017/12/24 0:00,16761287.5
2017/12/25 0:00,16762975
2017/12/26 0:00,16764750
2017/12/27 0:00,16766700
2017/12/28 0:00,16768562.5
2017/12/29 0:00,16770625
2017/12/30 0:00,16772462.5
2017/12/31 0:00,16774500
2018/1/1 0:00,16776450
2018/1/2 0:00,16778587.5
2018/1/3 0:00,16780550
2018/1/4 0:00,16782650
2018/1/5 0:00,16784437.5
2018/1/6 0:00,16786537.5
2018/1/7 0:00,16788562.5
2018/1/8 0:00,16790637.5
2018/1/9 0:00,16792687.5
2018/1/10 0:00,16794762.5
2018/1/11 0:00,16797175
2018/1/12 0:00,16799400
2018/1/13 0:00,16801262.5
2018/1/14 0:00,16803200
2018/1/15 0:00,16805075
2018/1/16 0:00,16807062.5
2018/1/17 0:00,16809150
2018/1/18 0:00,16811312.5
2018/1/19 0:00,16813375
2018/1/20 0:00,16815600
2018/1/21 0:00,16817937.5
2018/1/22 0:00,16820025
2018/1/23 0:00,16822237.5
2018/1/24 0:00,16824437.5
2018/1/25 0:00,16826412.5
2018/1/26 0:00,16828350
2018/1/27 0:00,16830312.5
